person,trial,times,events,block
1,1,941,dotRemoved,1
1,1,1050,targOn,1
1,1,1084,targOff,1
1,2,791,dotRemoved,1
1,2,866,targOn,1
1,2,900,targOff,1
1,3,1003,dotRemoved,1
1,3,1095,targOn,1
1,3,1129,targOff,1
1,4,788,dotRemoved,1
1,4,880,targOn,1
1,4,915,targOff,1
1,6,1155,dotRemoved,1
1,6,1247,targOn,1
1,6,1281,targOff,1
1,7,1186,dotRemoved,1
1,7,1262,targOn,1
1,7,1296,targOff,1
1,8,1024,dotRemoved,1
1,8,1116,targOn,1
1,8,1150,targOff,1
1,9,820,dotRemoved,1
1,9,911,targOn,1
1,9,946,targOff,1
1,10,1241,dotRemoved,1
1,10,1333,targOn,1
1,10,1367,targOff,1
1,11,974,dotRemoved,1
1,11,1066,targOn,1
1,11,1100,targOff,1
1,12,924,dotRemoved,1
1,12,1016,targOn,1
1,12,1050,targOff,1
1,13,1241,dotRemoved,1
1,13,1316,targOn,1
1,13,1351,targOff,1
1,14,1040,dotRemoved,1
1,14,1116,targOn,1
1,14,1150,targOff,1
1,15,974,dotRemoved,1
1,15,1066,targOn,1
1,15,1100,targOff,1
1,16,1207,dotRemoved,1
1,16,1299,targOn,1
1,16,1333,targOff,1
1,17,1124,dotRemoved,1
1,17,1216,targOn,1
1,17,1250,targOff,1
1,18,1040,dotRemoved,1
1,18,1132,targOn,1
1,18,1166,targOff,1
1,19,1242,dotRemoved,1
1,19,1333,targOn,1
1,19,1367,targOff,1
1,20,1203,dotRemoved,1
1,20,1295,targOn,1
1,20,1329,targOff,1
1,21,940,dotRemoved,1
1,21,1032,targOn,1
1,21,1067,targOff,1
1,22,874,dotRemoved,1
1,22,966,targOn,1
1,22,1000,targOff,1
1,23,1122,dotRemoved,1
1,23,1230,targOn,1
1,23,1264,targOff,1
1,24,1157,dotRemoved,1
1,24,1266,targOn,1
1,24,1300,targOff,1
1,26,941,dotRemoved,1
1,26,1050,targOn,1
1,26,1084,targOff,1
1,27,824,dotRemoved,1
1,27,932,targOn,1
1,27,966,targOff,1
1,28,921,dotRemoved,1
1,28,1029,targOn,1
1,28,1063,targOff,1
1,29,1224,dotRemoved,1
1,29,1316,targOn,1
1,29,1350,targOff,1
1,30,1103,dotRemoved,1
1,30,1211,targOn,1
1,30,1246,targOff,1
1,31,974,dotRemoved,1
1,31,1066,targOn,1
1,31,1100,targOff,1
1,32,903,dotRemoved,1
1,32,1012,targOn,1
1,32,1046,targOff,1
1,33,1174,dotRemoved,1
1,33,1283,targOn,1
1,33,1317,targOff,1
1,34,907,dotRemoved,1
1,34,999,targOn,1
1,34,1033,targOff,1
1,35,1257,dotRemoved,1
1,35,1365,targOn,1
1,35,1400,targOff,1
1,36,1007,dotRemoved,1
1,36,1099,targOn,1
1,36,1134,targOff,1
1,37,1208,dotRemoved,1
1,37,1317,targOn,1
1,37,1351,targOff,1
1,38,1204,dotRemoved,1
1,38,1313,targOn,1
1,38,1347,targOff,1
1,39,1090,dotRemoved,1
1,39,1199,targOn,1
1,39,1233,targOff,1
1,40,1224,dotRemoved,1
1,40,1332,targOn,1
1,40,1367,targOff,1
1,2,782,dotRemoved,2
1,2,882,targOn,2
1,2,916,targOff,2
1,3,1099,dotRemoved,2
1,3,1199,targOn,2
1,3,1233,targOff,2
1,4,1166,dotRemoved,2
1,4,1265,targOn,2
1,4,1300,targOff,2
1,5,781,dotRemoved,2
1,5,881,targOn,2
1,5,915,targOff,2
1,6,1067,dotRemoved,2
1,6,1166,targOn,2
1,6,1200,targOff,2
1,7,1099,dotRemoved,2
1,7,1199,targOn,2
1,7,1233,targOff,2
1,8,833,dotRemoved,2
1,8,933,targOn,2
1,8,967,targOff,2
1,9,1066,dotRemoved,2
1,9,1166,targOn,2
1,9,1200,targOff,2
1,10,999,dotRemoved,2
1,10,1099,targOn,2
1,10,1133,targOff,2
1,11,913,dotRemoved,2
1,11,1012,targOn,2
1,11,1047,targOff,2
1,12,1199,dotRemoved,2
1,12,1299,targOn,2
1,12,1333,targOff,2
1,13,1249,dotRemoved,2
1,13,1349,targOn,2
1,13,1383,targOff,2
1,14,1249,dotRemoved,2
1,14,1349,targOn,2
1,14,1383,targOff,2
1,15,1015,dotRemoved,2
1,15,1115,targOn,2
1,15,1149,targOff,2
1,16,850,dotRemoved,2
1,16,949,targOn,2
1,16,984,targOff,2
1,17,999,dotRemoved,2
1,17,1099,targOn,2
1,17,1133,targOff,2
1,18,1249,dotRemoved,2
1,18,1349,targOn,2
1,18,1383,targOff,2
1,19,1100,dotRemoved,2
1,19,1199,targOn,2
1,19,1233,targOff,2
1,20,816,dotRemoved,2
1,20,916,targOn,2
1,20,950,targOff,2
1,21,832,dotRemoved,2
1,21,932,targOn,2
1,21,966,targOff,2
1,22,1148,dotRemoved,2
1,22,1248,targOn,2
1,22,1282,targOff,2
1,23,1183,dotRemoved,2
1,23,1283,targOn,2
1,23,1317,targOff,2
1,24,1000,dotRemoved,2
1,24,1099,targOn,2
1,24,1134,targOff,2
1,25,834,dotRemoved,2
1,25,933,targOn,2
1,25,968,targOff,2
1,26,849,dotRemoved,2
1,26,949,targOn,2
1,26,983,targOff,2
1,27,1049,dotRemoved,2
1,27,1149,targOn,2
1,27,1183,targOff,2
