person,trial,t1,t2,x1,y1,x2,y2,n,block,aoi1,aoi2
13,1,23,28,928.6,560.9,945,562.5,1,1,NA,0
13,1,1193,1222,943.9,566.8,765.8,559.5,2,1,0,1
13,2,1509,1544,949.7,550,1152.8,549.4,1,1,0,2
13,3,1505,1538,943,557.2,1136,550.5,1,1,0,2
13,4,1103,1140,936.2,561.1,762.1,560.2,1,1,0,1
13,5,1312,1337,948.3,543.9,804.2,564,1,1,0,1
13,6,1523,1558,940.9,554.5,1134,558.2,1,1,0,2
13,7,1162,1194,944,553.7,760.7,567.2,1,1,0,1
13,8,1315,1341,938.4,560.1,1095.6,564.9,1,1,0,NA
13,9,1596,1620,938.8,559.8,1065.1,546.3,1,1,0,NA
13,9,1810,1821,1079.5,554.2,1123.5,553.8,2,1,NA,2
13,10,153,163,967.9,540.5,939.4,549.4,1,1,0,0
13,10,1159,1193,949.3,554.3,748.6,559,2,1,0,NA
13,12,1426,1461,933.4,559.8,1131.2,555.4,1,1,0,2
13,13,1529,1553,934.3,567.7,803,544,1,1,0,1
13,14,1414,1438,938.5,574.6,797.5,557.3,1,1,0,1
13,15,1198,1233,936.7,549.3,1131.8,553.2,1,1,0,2
13,16,1500,1527,933.7,561.5,1104,561.2,1,1,0,NA
13,17,87,93,959.8,547,940.2,554.1,1,1,0,0
13,17,1170,1205,937.1,562.7,1148.7,569.4,2,1,0,2
13,18,1415,1448,938.2,544.5,1127,550.2,1,1,0,2
13,19,14,21,951.3,549.6,934.7,547.8,1,1,0,0
13,19,1237,1268,935.6,561,1113,558,2,1,0,2
13,20,1440,1470,930.4,565.1,1123.2,550.1,1,1,NA,2
13,21,1487,1511,927.2,552.5,1070.5,559.1,1,1,NA,NA
13,22,6,20,1000.7,547.6,951.6,559.1,1,1,NA,0
13,22,1516,1548,935.2,546.6,1127.7,555.7,2,1,0,2
13,23,1392,1417,934.5,561.9,1090.1,564.1,1,1,0,NA
13,24,1516,1540,939.8,556.2,1084.9,545.4,1,1,0,NA
13,25,1231,1255,940.3,546.7,1085.2,553.6,1,1,0,NA
13,25,1716,1724,1096.1,567.4,1124.5,558.1,2,1,NA,2
13,26,1502,1527,935,557,785.7,562.8,1,1,0,1
13,27,1497,1523,934.6,541.2,773.7,553.9,1,1,0,1
13,28,1490,1517,931.4,563.2,772.4,540.7,1,1,0,1
13,29,1322,1347,936.2,557,1106.7,563.9,1,1,0,NA
13,30,-4,5,971.7,557.6,943.4,562,1,1,0,0
13,30,1182,1209,939.8,571.9,779.8,581.4,2,1,0,1
13,31,1245,1280,930.6,555.6,1127.4,556.6,1,1,NA,2
13,32,1259,1284,932.3,557.4,1104.4,552.4,1,1,0,NA
13,33,18,40,1112.7,559.9,1002.4,548,1,1,2,NA
13,33,251,260,970.1,552.8,937.3,559.8,2,1,0,0
13,33,1386,1413,935,542.2,774.4,547.5,3,1,0,1
13,34,84,260,945.4,562.9,934.6,566.7,1,1,0,0
13,35,1194,1225,931.1,559,1104.2,547.8,1,1,0,NA
13,35,1383,1395,1092.3,553.4,1136.3,545.7,2,1,NA,2
13,36,1413,1437,933.9,563.9,786.3,550.2,1,1,0,1
13,37,160,331,935.9,577.5,943.4,568.6,1,1,0,0
13,38,1170,1200,941.1,537.2,764.9,547,1,1,0,1
13,39,1247,1278,932.4,538.3,1105.2,548,1,1,0,NA
13,39,1438,1448,1091.5,553.3,1127.8,557,2,1,NA,2
13,40,1484,1507,940.6,552.5,804,540.7,1,1,0,1
13,41,1253,1280,938.1,547.1,775.5,551.6,1,1,0,1
13,42,1138,1162,934.8,542.5,786.6,548.6,1,1,0,1
13,43,1262,1286,935.1,546.2,1090.9,542.4,1,1,0,NA
13,44,1173,1208,935.3,541.6,1149.1,541.4,1,1,0,2
13,45,1241,1264,932.4,551.9,1098.3,559.1,1,1,0,NA
13,46,-9,2,908.8,564.2,946.1,566.4,1,1,NA,0
13,46,1206,1230,929.5,562.9,791.8,557.2,2,1,NA,1
13,47,1306,1332,935.8,533.5,1100.6,548.8,1,1,0,NA
13,47,1491,1500,1100,541.3,1128.8,540.9,2,1,NA,2
13,48,1214,1244,939.5,552.8,1114.7,556.6,1,1,0,2
13,22,59,198,943.3,562,953,539.2,1,2,0,0
13,36,6,22,929.9,556.7,944.6,548.2,1,2,NA,0
13,41,39,166,953.7,585.7,952.4,553.7,1,2,0,0
