person blockN blockType trial flankerSide targetSide respG respC targOri saccStart targDisplayLat targOnTimeStamp targOffTimeStamp
12 1 1 1 outer left 1 down down 0.072184 0.020000 1.414683 1.448067
12 1 1 2 outer right 1 right right 0.000000 0.020000 1.331637 1.364869
12 1 1 3 none right 1 up up 0.000000 0.020000 1.331383 1.364634
12 1 1 4 both right 1 down left 0.000000 0.020000 1.581393 1.614675
12 1 1 5 inner left 1 left left 0.000000 0.020000 1.581968 1.615292
12 1 1 6 both right 1 right right 0.000000 0.020000 1.581328 1.614637
12 1 1 7 both right 1 up up 0.000000 0.020000 1.581344 1.614659
12 1 1 8 none right 1 up up 0.000000 0.020000 1.498010 1.531334
12 1 1 9 none left 1 down down 0.000000 0.020000 1.331602 1.364877
12 1 1 10 inner right NaN NaN down NaN 0.020000 1.414754 1.448011
12 1 1 11 outer right 1 down right 0.000000 0.020000 1.331301 1.364551
12 1 1 12 none right 1 down down 0.000000 0.020000 1.331333 1.364668
12 1 1 13 inner left 1 right right 0.000000 0.020000 1.414631 1.447984
12 1 1 14 none right 1 down down 0.000000 0.020000 1.664719 1.697981
12 1 1 15 inner right 1 down right 0.000000 0.020000 1.664741 1.697972
12 1 1 16 inner left 1 down down 0.000000 0.020000 1.581331 1.614585
12 1 1 17 inner right 1 down down 0.000000 0.020000 1.414762 1.447989
12 1 1 18 both left 1 up up 0.000000 0.020000 1.431401 1.464667
12 1 1 19 both left 1 down down 0.000000 0.020000 1.414716 1.448005
12 1 1 20 outer right 1 down up 0.000000 0.020000 1.331313 1.364685
12 1 1 21 inner right 1 up up 0.000000 0.020000 1.331311 1.364562
12 1 1 22 none right 1 left left 0.000000 0.020000 1.676497 1.709822
12 1 1 23 inner left 1 up up 0.000000 0.020000 1.247833 1.281258
12 1 1 24 inner left 1 up up 0.000000 0.020000 1.414835 1.448117
12 1 1 25 none left 1 up up 0.000000 0.020000 1.581188 1.614514
12 1 1 26 outer right 1 up up 0.410920 0.020000 1.247983 1.281361
12 1 1 27 both right 1 down down 0.000000 0.020000 1.664578 1.697923
12 1 1 28 inner right 1 left left 0.000000 0.020000 1.597889 1.631204
12 1 1 29 outer right 1 up up 0.000000 0.020000 1.264742 1.297961
12 1 1 30 outer right NaN NaN down NaN 0.020000 1.664718 1.698019
12 1 1 31 none right 1 down down 0.000000 0.020000 1.247983 1.281251
12 1 1 32 outer right 1 right right 0.000000 0.020000 1.247990 1.281309
12 1 1 33 none left 1 up up 0.000000 0.020000 1.331401 1.364652
12 1 1 34 outer left 1 down down 0.000000 0.020000 1.414627 1.447975
12 1 1 35 outer right 1 left left 0.000000 0.020000 1.414706 1.447967
12 1 1 36 both left 1 left left 0.000000 0.020000 1.414769 1.447978
12 1 1 37 outer right 1 up up 0.000000 0.020000 1.247981 1.281329
12 1 1 38 both left 1 down down 0.000000 0.020000 1.414635 1.447961
12 1 1 39 none right 1 right right 0.000000 0.020000 1.665023 1.698287
12 1 1 40 both right 1 right right 0.000000 0.020000 1.681312 1.714653
12 1 1 41 inner right 1 right right 0.000000 0.020000 1.681398 1.714665
12 1 1 42 outer left 1 left left 0.000000 0.020000 1.247953 1.281289
12 1 1 43 both left 1 right right 0.000000 0.020000 1.331334 1.381336
12 1 1 44 none right 1 right right 0.000000 0.020000 1.598070 1.631338
12 1 1 45 inner right 1 up up 0.000000 0.020000 1.597876 1.631197
12 1 1 46 both right 1 right right 0.000000 0.020000 1.331208 1.364515
12 1 1 47 both left 1 left left 0.000000 0.020000 1.331310 1.364640
12 1 1 48 none right 1 up up 0.000000 0.020000 1.581294 1.614724
12 2 2 1 outer left 1 up right NaN 0.020000 1.247990 1.281316
12 2 2 2 outer left 1 up up NaN 0.020000 1.414654 1.447971
12 2 2 3 inner right 1 up right NaN 0.020000 1.664821 1.698036
12 2 2 4 none left 1 right right NaN 0.020000 1.681368 1.714693
12 2 2 5 both left 1 right left NaN 0.020000 1.331394 1.364640
12 2 2 6 none right 1 up up NaN 0.020000 1.498020 1.548029
12 2 2 7 inner right 1 left left NaN 0.020000 1.331358 1.364617
12 2 2 8 inner right 1 left left NaN 0.020000 1.664590 1.697917
12 2 2 9 none left 1 up right NaN 0.020000 1.247953 1.281303
12 2 2 10 inner left 1 up left NaN 0.020000 1.581349 1.614650
12 2 2 11 inner left 1 left right NaN 0.020000 1.681385 1.731324
12 2 2 12 outer right 1 up up NaN 0.020000 1.248857 1.282187
12 2 2 13 none right 1 up right NaN 0.020000 1.331313 1.364631
12 2 2 14 both left 1 up left NaN 0.020000 1.664736 1.714674
12 2 2 15 inner right 1 left left NaN 0.020000 1.331384 1.364628
12 2 2 16 outer left 1 right right NaN 0.020000 1.431313 1.464642
12 2 2 17 outer right 1 left left NaN 0.020000 1.581345 1.614640
12 2 2 18 none right 1 left left NaN 0.020000 1.664554 1.697882
12 2 2 19 both right 1 down up NaN 0.020000 1.498058 1.531376
12 2 2 20 outer left 1 left left NaN 0.020000 1.331250 1.364596
12 2 2 21 inner left 1 right right NaN 0.020000 1.664623 1.697872
12 2 2 22 inner right NaN NaN right NaN 0.020000 0.000000 0.000000
12 2 2 23 outer right 1 left right NaN 0.020000 1.581419 1.631416
12 2 2 24 inner left 1 right right NaN 0.020000 1.248012 1.281381
12 2 2 25 inner left 1 up left NaN 0.020000 1.264645 1.297964
12 2 2 26 inner right 1 down right NaN 0.020000 1.664740 1.714694
12 2 2 27 outer left 1 down down NaN 0.020000 1.681366 1.714621
12 2 2 28 both right 1 left right NaN 0.020000 1.348051 1.381374
12 2 2 29 none right 1 up up NaN 0.020000 1.581409 1.614663
12 2 2 30 both right 1 left left NaN 0.020000 1.414614 1.447897
12 2 2 31 both right 1 down left NaN 0.020000 1.431384 1.464727
12 2 2 32 none left 0 down down NaN 0.020000 1.247977 1.281362
12 2 2 33 none right NaN NaN down NaN 0.020000 0.000000 0.000000
12 2 2 34 outer left 1 down left NaN 0.020000 1.431293 1.464576
12 2 2 35 both left 1 right left NaN 0.020000 1.497988 1.531329
12 2 2 36 both left 1 right down NaN 0.020000 1.664727 1.697994
12 2 2 37 none left 0 left left NaN 0.020000 1.331378 1.364635
12 2 2 38 both left 1 down right NaN 0.020000 1.414529 1.447828
12 2 2 39 both left 1 right right NaN 0.020000 1.247973 1.281329
12 2 2 40 both right 1 down left NaN 0.020000 1.581354 1.614653
12 2 2 41 outer left 0 right right NaN 0.020000 1.581349 1.614610
12 2 2 42 both left 1 left left NaN 0.020000 1.414725 1.447973
12 2 2 43 none right 1 left up NaN 0.020000 1.664735 1.697985
12 2 2 44 inner left 1 up up NaN 0.020000 1.664702 1.697981
12 2 2 45 none right 1 down down NaN 0.020000 1.664727 1.697985
12 2 2 46 outer left 1 right right NaN 0.020000 1.247972 1.281304
12 2 2 47 outer left 1 up up NaN 0.020000 1.581247 1.614559
12 2 2 48 none right 1 left up NaN 0.020000 1.497896 1.531210
