person blockN blockType trial flankerSide targetSide respG respC targOri saccStart targDisplayLat dotRemoveTimeStamp targOnTimeStamp targOffTimeStamp
1 1 1 1 outer left 1 down down 0.199352 0.100000 0.945406 1.076928 1.126915
1 1 1 2 inner left 1 up up 0.199597 0.099352 0.849634 0.964723 1.014714
1 1 1 3 inner right NaN NaN up NaN 0.099474 1.116217 1.231354 1.281341
1 1 1 4 both right 1 up right 0.165036 0.099474 1.182830 1.297900 1.347835
1 1 1 5 inner right 1 left left 0.115143 0.099352 1.016233 1.131357 1.181357
1 1 1 6 none right 1 right right 0.166230 0.082194 1.066359 1.164758 1.214787
1 1 1 7 none right 1 right down 0.182779 0.066230 0.766298 0.864644 0.914571
1 1 1 8 both right NaN NaN down NaN 0.074505 NaN 0.000000 0.000000
1 1 1 9 both left 1 down down 0.199600 0.074505 1.199564 1.298057 1.348053
1 1 1 10 inner left 0 up left 0.166290 0.082779 1.082953 1.181390 1.231400
1 1 1 11 both left 0 down down 0.148390 0.074535 1.216090 1.314493 1.364443
1 1 1 12 outer right 1 down down 0.098502 0.066290 1.082969 1.181449 1.231400
1 1 1 13 both right 1 left left 0.182958 0.066260 0.832911 0.931338 0.981334
1 1 1 14 none left 1 right right 0.182911 0.066290 0.849697 0.947989 0.998076
1 1 1 15 inner right NaN NaN up NaN 0.074535 0.999633 1.098071 1.148005
1 1 1 16 outer left 1 up down 0.216413 0.074535 0.766233 0.864724 0.914721
1 1 1 17 outer right 1 left left 0.049623 0.082779 1.182953 1.281384 1.331316
1 1 1 18 none left 0 right right 0.199708 0.074535 0.832828 0.931289 0.981291
1 1 1 19 outer left NaN NaN down NaN 0.082779 NaN 0.000000 0.000000
1 1 1 20 none left 1 up up 0.182866 0.082779 0.966308 1.064659 1.114657
1 1 1 21 both right 1 down down 0.148420 0.082823 1.249644 1.348036 1.398061
1 1 1 22 inner right 1 left right 0.148567 0.082779 1.232787 1.331322 1.381313
1 1 1 23 both left 1 down down 0.182898 0.074535 0.949615 1.048002 1.097929
1 1 1 24 none right 1 up up 0.182947 0.082779 0.916164 1.014640 1.064579
1 1 1 25 outer right 1 right right 0.098493 0.082823 0.882906 0.981373 1.031314
1 1 1 26 none right NaN NaN left NaN 0.082779 1.183093 1.298061 1.348067
1 1 1 27 none right 1 left left 0.199679 0.082779 0.916236 1.014667 1.064731
1 1 1 28 none right 1 left right 0.199637 0.082823 0.849887 0.948450 0.998381
1 1 1 29 inner left 1 down right 0.166396 0.082866 1.116206 1.214765 1.264753
1 1 1 30 outer right NaN NaN left NaN 0.082823 1.182879 1.281313 1.331462
1 1 1 31 outer right 1 right right 0.182925 0.082823 1.049506 1.148040 1.197930
1 1 1 32 outer left 1 left down 0.182957 0.082866 1.049624 1.164721 1.214725
1 1 1 33 none left 1 left left 0.199651 0.082882 0.816244 0.914721 0.964727
1 1 1 34 both right 1 down down 0.049617 0.082898 1.016213 1.131301 1.181306
1 1 1 35 inner right 1 up up 0.165120 0.082882 0.982876 1.097956 1.147962
1 1 1 36 outer right 1 right right 0.066281 0.082866 0.916293 1.014674 1.064677
1 1 1 37 inner left NaN NaN up NaN 0.082823 1.216212 1.314627 1.364629
1 1 1 38 inner right 1 down down 0.182929 0.082823 1.066287 1.164715 1.214699
1 1 1 39 both left 1 right right 0.182956 0.082866 0.866212 0.964773 1.014660
1 1 1 40 both right NaN NaN left NaN 0.082882 1.032852 1.131344 1.181270
1 2 2 1 outer left 1 right down NaN 0.082882 1.032978 1.148054 1.198054
1 2 2 2 outer left 1 left left NaN 0.082882 0.916289 1.031377 1.081380
1 2 2 3 both left 1 left down NaN 0.082882 0.999623 1.098090 1.148038
1 2 2 4 none left 1 up up NaN 0.082882 1.216323 1.331409 1.381397
1 2 2 5 inner left 1 left up NaN 0.082882 1.066269 1.164687 1.214623
1 2 2 6 none right 0 left left NaN 0.082882 1.246250 1.361374 1.411262
1 2 2 7 inner right 1 down down NaN 0.082882 1.082899 1.181361 1.231404
1 2 2 8 both right 1 down left NaN 0.082882 0.799597 0.898006 0.948090
1 2 2 9 none left 0 right right NaN 0.082882 1.095988 1.194368 1.244362
1 2 2 10 inner right 1 right down NaN 0.082882 0.899635 1.014673 1.064675
1 2 2 11 outer left 0 down down NaN 0.082882 0.816239 0.914720 0.964716
1 2 2 12 inner right 1 up up NaN 0.082882 1.232907 1.331344 1.381337
1 2 2 13 none right 1 right right NaN 0.082882 0.848794 0.947213 0.997213
1 2 2 14 outer right 1 down down NaN 0.082882 0.765760 0.880813 0.930797
1 2 2 15 inner right 1 right right NaN 0.082882 0.781520 0.896581 0.946629
1 2 2 16 inner right 1 up up NaN 0.082882 0.850132 0.965133 1.015190
1 2 2 17 inner right 1 right right NaN 0.082882 0.816282 0.931325 0.981329
1 2 2 18 none left 1 up up NaN 0.082882 0.999574 1.097989 1.148051
1 2 2 19 both left 1 up up NaN 0.082882 0.966184 1.081182 1.131194
1 2 2 20 none right 1 up up NaN 0.082882 1.232877 1.331344 1.381378
1 2 2 21 inner right 1 left left NaN 0.082882 1.149562 1.248046 1.298068
1 2 2 22 inner left 1 up right NaN 0.082882 0.932865 1.047937 1.097930
1 2 2 23 outer right 1 down down NaN 0.082882 0.866266 0.964714 1.014764
1 2 2 24 none left 1 left left NaN 0.082882 0.899685 1.014755 1.064745
1 2 2 25 outer left NaN NaN down NaN 0.082882 1.100325 1.198767 1.248728
1 2 2 26 both left 1 right right NaN 0.082882 1.032825 1.131284 1.181250
1 2 2 27 both right 1 down left NaN 0.082882 1.116113 1.214628 1.264640
1 2 2 28 both left 1 right right NaN 0.082882 1.166143 1.264563 1.314506
1 2 2 29 none right 1 down down NaN 0.082882 1.199567 1.298057 1.348056
1 2 2 30 none right 1 up up NaN 0.082882 0.866263 0.964652 1.014726
1 2 2 31 outer left 1 up up NaN 0.082882 0.916202 1.014632 1.064705
1 2 2 32 none right 1 right right NaN 0.082882 0.949474 1.047928 1.097991
1 2 2 33 outer left 1 up up NaN 0.082882 0.849557 0.947986 0.997924
1 2 2 34 outer left 1 left left NaN 0.082882 1.096262 1.211278 1.261342
1 2 2 35 both right 1 right left NaN 0.082882 0.782912 0.881321 0.931319
1 2 2 36 outer right 1 down down NaN 0.082882 0.983266 1.098335 1.148342
1 2 2 37 both right 1 left left NaN 0.082882 1.214122 1.312546 1.362553
1 2 2 38 both right 1 down down NaN 0.082882 0.999636 1.098054 1.148080
1 2 2 39 inner left 1 up up NaN 0.082882 0.782922 0.881398 0.931394
1 2 2 40 both left 1 right left NaN 0.082882 1.182976 1.298029 1.348046
