person blockN blockType trial flankerSide targetSide respG respC targOri saccStart targOnTimeStamp targOffTimeStamp
10 1 1 1 outer left NaN NaN right NaN 1.330321 1.363587
10 1 1 2 inner right NaN NaN left NaN 1.331230 1.364499
10 1 1 3 none left 1 down up 0.074859 1.761261 1.794481
10 1 1 4 outer left 1 down up 9995.743202 1.431341 1.464561
10 1 1 5 none right 1 left up 0.241473 3.181582 3.214839
10 1 1 6 inner right NaN NaN left NaN 0.000000 0.000000
10 1 1 7 none left 1 up up 0.074922 1.747955 1.781200
10 1 1 8 outer right 1 down up 0.000000 1.248071 1.281410
10 1 1 9 outer right 0 left up 10017.393328 1.431373 1.464634
10 1 1 10 none right 1 up right 0.000000 1.265343 1.298623
10 1 1 11 none right 1 down left 10026.660076 1.598024 1.631305
10 1 1 12 inner right 0 right up 0.000000 1.496450 1.529722
10 1 1 13 inner left NaN NaN down NaN 1.181278 1.214606
10 1 1 14 inner right 0 down down 10041.976817 1.614510 1.647790
10 1 1 15 inner left 1 left up 0.000000 1.498032 1.531304
10 1 1 16 outer right 0 down down 10051.043522 1.514677 1.547945
10 1 1 17 none left NaN NaN right NaN 1.265070 1.298412
10 1 1 18 inner right 0 right down 0.000000 1.264555 1.297966
10 1 1 19 outer left 0 left left 10063.893746 1.598031 1.631274
10 1 1 20 outer left 1 up right 0.000000 1.498017 1.531289
10 1 1 21 inner right NaN NaN right NaN 1.347911 1.381172
10 1 1 22 inner right 0 down left 10077.360472 1.595384 1.645311
10 1 1 23 outer left NaN NaN right NaN 1.597999 1.631352
10 1 1 24 inner left 0 down up 0.409778 1.247961 1.281301
10 1 1 25 inner right 0 right up 0.074944 1.581281 1.617090
10 1 1 26 none right 1 right left 0.608482 1.664556 1.697807
10 1 1 27 none right 1 left up 0.075202 1.747928 1.781258
10 1 1 28 none right 0 up down 0.000000 1.331209 1.364467
10 1 1 29 none right NaN NaN up NaN 1.264682 1.297955
10 1 1 30 outer right 0 down down 10113.310857 1.598085 1.631267
10 1 1 31 outer right 1 right up 0.000000 1.497956 1.531389
10 1 1 32 none right NaN NaN left NaN 1.281315 1.314618
10 1 1 33 none right 0 up left 10127.244198 1.598032 1.631275
10 1 1 34 outer right NaN NaN left NaN 1.247968 1.281235
10 1 1 35 outer right 1 right right 0.791764 1.514473 1.547794
10 1 1 36 inner right 1 right down 0.075058 1.597920 1.631209
10 2 2 1 outer left 0 right left NaN 1.598063 1.631392
10 2 2 2 outer right 1 up right NaN 1.514558 1.547810
10 2 2 3 inner right NaN NaN left NaN 0.000000 0.000000
10 2 2 4 none left 1 left right NaN 1.264633 1.297970
10 2 2 5 inner left 1 right left NaN 1.332239 1.365493
10 2 2 6 outer left 1 down right NaN 1.664661 1.697939
10 2 2 7 outer right 1 up down NaN 1.264656 1.298049
10 2 2 8 outer right 1 right left NaN 1.681702 1.714976
10 2 2 9 none right 1 down up NaN 1.431321 1.464593
10 2 2 10 inner right 1 up down NaN 1.497976 1.531221
10 2 2 11 none left 1 down left NaN 1.681274 1.714635
10 2 2 12 outer left 1 left up NaN 1.514985 1.548299
10 2 2 13 outer right 1 up left NaN 1.264689 1.297943
10 2 2 14 none right 1 right up NaN 1.598013 1.631346
10 2 2 15 none right 1 down left NaN 1.681278 1.714695
10 2 2 16 inner left 1 left left NaN 1.265050 1.298340
10 2 2 17 inner right 1 up right NaN 1.431096 1.464445
10 2 2 18 none right 1 down right NaN 1.514545 1.547865
10 2 2 19 none left 1 right left NaN 1.514600 1.547927
10 2 2 20 none left 1 left down NaN 1.681394 1.714641
10 2 2 21 outer right 1 up down NaN 1.265039 1.298276
10 2 2 22 none left 1 down left NaN 1.447945 1.481301
10 2 2 23 none left 1 up right NaN 1.431228 1.464503
10 2 2 24 outer left 1 left up NaN 1.264479 1.297753
10 2 2 25 inner right 1 down left NaN 1.431214 1.464558
10 2 2 26 none right 1 up left NaN 1.681337 1.714590
10 2 2 27 outer left 1 left up NaN 1.597881 1.631201
10 2 2 28 inner right 1 left up NaN 1.681096 1.714454
10 2 2 29 inner right NaN NaN left NaN 0.000000 0.000000
10 2 2 30 inner left 1 down up NaN 1.264701 1.297957
10 2 2 31 inner left 1 up down NaN 1.447889 1.481305
10 2 2 32 inner right 1 down left NaN 1.264525 1.297866
10 2 2 33 outer right 1 up up NaN 1.345818 1.379151
10 2 2 34 none right 1 down up NaN 1.431298 1.464617
10 2 2 35 inner left 1 up right NaN 1.681376 1.714613
10 2 2 36 outer right NaN NaN down NaN 1.347922 1.381190
10 3 1 1 none right 1 down right 0.000000 1.431149 1.464432
10 3 1 2 inner left 1 down up 11153.602811 1.514596 1.547924
10 3 1 3 inner left 1 down down 0.241494 3.181297 3.214585
10 3 1 4 inner right 0 right left 0.074831 1.431321 1.464605
10 3 1 5 inner left 1 down down 0.458030 1.681216 1.714451
10 3 1 6 inner right 1 down down 0.074896 1.597886 1.631228
10 3 1 7 none right 1 right left 0.000000 1.264725 1.297959
10 3 1 8 inner right 1 down down 11182.769774 1.447987 1.481228
10 3 1 9 none left 1 up left 0.000000 1.514692 1.548046
10 3 1 10 none right 0 right down 11192.119797 1.597873 1.631217
10 3 1 11 outer left 0 left up 0.624854 1.431555 1.464801
10 3 1 12 outer right 1 right right 0.074814 1.348021 1.381362
10 3 1 13 outer right 1 down left 0.427709 1.431145 1.464468
10 3 1 14 none right 0 right up 0.725050 1.447877 1.481197
10 3 1 15 inner right 1 right left 0.691901 1.831217 1.864567
10 3 1 16 none right 0 right down 0.325191 1.664560 1.697834
10 3 1 17 outer left NaN NaN right NaN 1.748808 1.782146
10 3 1 18 none left NaN NaN right NaN 1.514901 1.548140
10 3 1 19 outer right 1 down down 0.241601 1.931226 1.964459
10 3 1 20 outer right 1 right right 0.708239 1.765467 1.798727
10 3 1 21 inner left 1 down left 0.241575 1.514694 1.547937
10 3 1 22 none right 1 right left 0.158072 1.681277 1.714623
10 3 1 23 outer right 0 right right 0.158585 1.581217 1.614546
10 3 1 24 outer right 1 down down 0.691811 1.414548 1.447838
10 3 1 25 inner right 1 right down 0.158487 1.414701 1.448058
10 3 1 26 outer right 1 down up 0.074928 1.598749 1.632020
10 3 1 27 none left 1 right right 0.074926 1.431363 1.464614
10 3 1 28 outer right 1 down down 0.074946 1.431191 1.464438
10 3 1 29 none right 1 right up 0.708240 1.514613 1.547906
10 3 1 30 none left 1 down left 0.074920 1.431302 1.464509
10 3 1 31 none right 1 right right 0.708347 1.764605 1.797929
10 3 1 32 outer right 1 right up 0.541475 1.514664 1.547897
10 3 1 33 inner right 1 down up 0.691879 1.582083 1.615350
10 3 1 34 outer right 1 down right 0.791611 1.764620 1.797887
10 3 1 35 inner right NaN NaN down NaN 1.681575 1.714811
10 3 1 36 inner right 1 down down 0.158367 1.847891 1.881230
10 4 2 1 inner left 1 down up NaN 1.348257 1.381588
10 4 2 2 outer left 1 down right NaN 1.431369 1.464610
10 4 2 3 outer left 0 left down NaN 1.431658 1.464986
10 4 2 4 outer left 0 up up NaN 1.681200 1.714458
10 4 2 5 inner left 1 down left NaN 1.431344 1.464598
10 4 2 6 none right 0 right down NaN 1.414631 1.447957
10 4 2 7 inner right 1 up left NaN 1.764620 1.797925
10 4 2 8 none right 1 down left NaN 1.348012 1.381307
10 4 2 9 outer right 1 right right NaN 1.764636 1.798030
10 4 2 10 inner left 1 down down NaN 1.681350 1.714595
10 4 2 11 inner right 1 up left NaN 1.431335 1.464594
10 4 2 12 outer left 0 right up NaN 1.514595 1.547839
10 4 2 13 inner left 0 right left NaN 1.431178 1.464444
10 4 2 14 none left 1 right right NaN 1.431238 1.464477
10 4 2 15 none right 1 right right NaN 1.497870 1.531126
10 4 2 16 inner left 0 right left NaN 1.497904 1.531233
10 4 2 17 none left 1 up left NaN 1.681253 1.714518
10 4 2 18 inner left 0 left up NaN 1.597850 1.631180
10 4 2 19 inner right 1 right right NaN 1.514513 1.547757
10 4 2 20 none left 0 up right NaN 1.681351 1.714599
10 4 2 21 outer left 0 right down NaN 1.347914 1.381152
10 4 2 22 none left 0 right right NaN 1.514521 1.547773
10 4 2 23 outer left 1 right right NaN 1.597882 1.631218
10 4 2 24 inner left 0 down down NaN 1.414540 1.447881
10 4 2 25 none left 1 down down NaN 1.431295 1.464598
